filename,title,count,percentage,examples,description,full
interact_38.png,National/Ethnic Costumes,63,17.1%,"Alphonse, Arabian Chief, Armenian Chief","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Alphonse, Arabian Chief, Armenian Chief, Carlos, Chinaman, Chinese Mandarin, Colonial Soldier, Corsican, Directoire, Dutchman, Dutchman, Fat, Dutch Professor, English Swell, Gipsy, Gondolier, Incroyable, Irishman, Japanese, Jew or Hebrew, John Bull, Matador, Mexican, Mikado, Peasant, Bohemian, Peasant, German, Peasant, Italian, Polish Courtier, Polish Prince, Scotchman, Spaniard, Spanish Bull Fighter, Swiss, Toreador, Turk, Turkish Pasha, Tyrolean, Vaquero, Van Dyke, Venetian, Zulu, Gipsy Queen, Gretchen, Highland Lassie, Indian Girl, Irish Girl, Italy, Japanese Lady, Lady Matador, Mexican Lady, Old Dutch Styles, Oriental Lady, Polish Princess, Russian Lady, Schwartzwalderin, Scotch Lady, Spanish Lady, Sultana, Tyrolese, Zulu Princess, Chinese Lady, Dutch Girl, Egyptian Dancing Girl, Fortune Teller"
interact_13.png,Royalty/Nobility,53,14.4%,"Austrian Nobleman, Black Prince, Charles I","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Austrian Nobleman, Black Prince, Charles I, Charles II, Count of Monte Cristo, Count de Mornay, Courtier, Elizabethan, Doge of Venice, Duke, Duke Grandee, Earl of Leicester, Edward IV, Francis I, French Marquis, French Prince, German Nobleman, Gipsy King, Italian Prince, Lord Chesterfield, Lord Dundreary, Louis XI, Louis XIV, Louis XV, Louis XVI, Marquis, Nabob, Noble, 1664, Page, Henry IV, Phillip of Spain, Prince, Prince Albert (Coats & Vests), Prince Albert Suit, Richard III, Reuben, Sailor, Blue, U.S., Spanish Prince, Sultan, Little ""Duke"", Marie Antoinette, Marie de Medici, Mary Stuart, Pierette, Princess, Princess Carnival, Princess Chic (Tights), Queen Esther, Queen, Gipsy, Queen of Diamonds, Queen of the Harem, Russian Princess, Turkish Princess, Turkish Queen, Francis I."
interact_20.png,Literary/Stage Characters,50,13.6%,"Bob Acres, Bassanio Antonio, Dickens’ Characters","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Acres, Bob, Antonio, Bassanio, Bob Acres, Dickens’ Characters, Don Caesar de Bazan, Don Juan, Don Pedro, Spanish, Falstaff, Faust, Figaro, Folly, Prince of, Hamlet, Henry IV, Henry VIII, Iago, Joseph Surface, King Lear, Macbeth, Macduff, Marc Antony, Merchant of Venice, Michael Strogoff, Nanki Poo (Mikado), Orlando, Othello, Petruchio, Richelieu, Robin Hood, Robinson Crusoe, Romeo, Shakespearian Court Costumes, Shylock, Touchstone, Valentine (from Faust), Juliet, Katisha (Mikado), Lady Teazle, Little Lord Fauntleroy, Marguerite, Ophelia (Hamlet), Pinafore, Sailor, Portia, Topsy, Viola (In the Twelfth Night), Yum Yum (Mikado), Zingara, Biddy, Carmen, Dolly Varden"
interact_22.png,Military/Uniformed Personnel,44,11.9%,"Absolute Capt., Admiral, American Officer, Ancient Cavalier","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Absolute Capt., Admiral, American Officer, Ancient Cavalier, Buckingham, Captain, U.S. Navy, Cavalier, Claude Melnotte, Colonial Officer, Commodore, U.S. Navy (fake), Confederate Officer, Confederate Soldier, Continental Soldier, Corcoran, Capt., D’Artagnan, English Officer, English Soldier, Fra Diavolo, French Officer, French Soldier, German Hussar, German Officer, Highlander, Hungarian Hussar, Miles Standish, Musketeer (Musquetaire), Oliver Cromwell, Rinaldo, Italian Brigand Captain, Roman Soldier, Russian Hussar, Sailor, White, Soldiers (Foreign Nations), U.S. Admiral, U.S. Marine, U.S. Officer, U.S. Sailor, U.S. Soldier, Zouave, Lady Sailor, Navy Costume, Sailor, Girl, Vivandiere, Daughter of the Regiment, Sailor Girl"
interact_02.png,Entertainment/Performers,20,5.4%,"Band Master, Boleno Clown, Circus Clown","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Band Master, Clown, Boleno, Clown, Circus, Clown, Common, Clown, Devil, Clown, Grimaldi, Court Jester, Drum Major, Jester, Pierrot, Punch, Punchinello, Ring Master, Circus, Lady Clown, Music, Tamborine Girl, Trapeze Costume, Yama Yama Girls, Dancing Girl, Folly"
interact_33.png,Classical/Antiquity,19,5.1%,"Grecian Costume, ""Aramis"" Guardsman, ""Athos"" Guardsman ","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Grecian Costume, Guardsman, ""Aramis"", Guardsman, ""Athos"", Guardsman, ""Porthos"", Julius Caesar, Knight, Knight in Armour, Lands Knight, Malta Knight, Pythias, Rex, King Apple, Roman Citizen, Roman Senator, Goddess of Liberty, Grecian Lady, Justice, Liberty, Roman-Grecian Statue Drapery, Venus"
interact_31.png,Children/Youth Characters,18,4.9%,"Bingville Character, Foxy Grandpa, Jack of Cards","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Bingville Character, Foxy Grandpa, Jack of Cards, Jeff (Bud Fisher's), King of Cards, Mutt (Bud Fisher's), Rube of Bingville, Rip Van Winkle, Santa Claus, Silly Kid, Simple Simon, Little Bo-Peep, Little Red Riding Hood, Mother Goose, Queen of Hearts, Queen of Spades, Baby, Alphonse and Gaston"
interact_36.png,Fantasy/Supernatural,14,3.8%,"Damon, Demon, Devil","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Damon, Demon, Devil, Mephistopheles, Prince Charming, Prince of the Tower, Lady Demon, Night, Queen of Night, Snow Queen, Winter, Witch, America, Fairy Queen"
interact_29.png,Animal Costumes,13,3.5%,"Black Bear, Polar Bear, Frog Suit","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Bear, Black, Bear, Polar, Frog Suit, Kangaroo, Monkey, Lion, Lobster, Rooster, Sir Peter Teazle, Mountain Pet, Owls, Pansy, Sunflower, Butterfly"
interact_27.png,Racialized American Characters,13,3.5%,"Common Coon, Fancy Coon, Swell Coon","Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. ","Coon, Common, Coon, Fancy, Coon, Swell, Indian, Indian Chief, Negro Band Boy, Negro Minstrel (Endman), Swell Coon, Uncle Tom, Negro Wench, Cheyenne, Cotton Picker, Negro Minstrel"
